114,15.11,8.5,8.74,8.27,0.01511,11
93,18.7,5.95,7.28,6.89,0.0187,21
91.5,17.8,7.8,7.8,6.7,0.0178,13
79,6.1,7.1,6.39,5.96,0.0061,17
76,6.9,6.79,5.26,4.97,0.0069,24
75,7.8,6.76,4.17,3.94,0.0078,9
67,7.8,5.98,4.98,4.71,0.0078,16
61,28.6,5.5,4.53,4.29,0.0286,20
61,28.6,5.5,4.2,3.77,0.0286,21
61,8.7,5.47,3.2,3.5,0.0087,9
57,28.6,5.11,3.6,2.86,0.0286,15
54.5,8.7,4.84,4.53,4.29,0.0087,20
54.5,8.7,4.84,3.26,3.9,0.0087,8
50.5,18.7,4.43,2.94,2.71,0.0187,23
55,9.5,1.79,4.28,4.5,0.0095,9
55,9.5,2.6,4.28,4.5,0.0095,21
46,29.5,4.11,3,2.84,0.0295,12
48,110,3.08,3.8,3.37,0.11,14
50,190,1.15,3.77,3.33,0.19,14
49,170,1.37,3.73,3.3,0.17,16
48,140,3.04,3.72,3.29,0.14,10
41.5,160,3.48,2.46,2.17,0.16,16
6.7,130,3.32,2.25,1.98,0.13,14
40.5,110,1.94,3.16,2.8,0.11,23
36,3.35,3.04,2.11,1.86,0.00335,11
36,140,3.02,2.639,2.38,0.14,13
36,140,3.02,2.58,2.28,0.14,9
5.7,130,2.64,1.78,1.55,0.13,23
5.1,90,2.44,2.17,1.93,0.09,18
27.5,90,2.34,1.75,1.55,0.09,8
30.5,130,1.1,2.26,1.99,0.13,18
29.3,90,2.02,2.26,2,0.09,10
30,140,1.08,2.2,1.93,0.14,18
3.8,90,1.6,1.68,1.49,0.09,19
21,240,1.38,0,1.11,0.24,10
55.5,110,1.01,-0.16,1.02,0.11,24
12.5,150,0.93,-0.16,0.99,0.15,20
12.5,80,0.97,0,0.47,0.08,12
10,120,0.64,0,0,0.12,15
